Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
dgemv_n_HASWELL,0.011886,0.011886,0.0,0.011886,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,dgemv_n_HASWELL,[Unknown],0xeb2110
pthread_cond_wait,0.010000,0.0,0.0,0.0,0.0,0.0,0.0,0.010000,0.0,libpthread.so.0,pthread_cond_wait,[Unknown],0xe700
"std::getline<char, std::char_traits<char>, std::allocator<char>>",0.009015,0.009015,0.0,0.009015,0.0,0.0,0.0,0.0,0.0,libstdc++.so.6,"std::basic_istream<char, std::char_traits<char>>& std::getline<char, std::char_traits<char>, std::allocator<char>>(std::basic_istream<char, std::char_traits<char>>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>&, char)",[Unknown],0xc91a0
[Outside any known module],0.008839,0.008839,0.0,0.008839,0.0,0.0,0.0,0.0,0.0,[Unknown],[Outside any known module],[Unknown],0x0
dgemm_oncopy_HASWELL,0.008099,0.008099,0.0,0.008099,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,dgemm_oncopy_HASWELL,[Unknown],0xebc600
func@0x96c0,0.007999,0.007999,0.0,0.007999,0.0,0.0,0.0,0.0,0.0,libarmadillo.so.11,func@0x96c0,[Unknown],0x96c0
func@0x23990,0.007999,0.007999,0.0,0.007999,0.0,0.0,0.0,0.0,0.0,libc.so.6,func@0x23990,[Unknown],0x23990
flt128_printf_fp,0.007976,0.007976,0.0,0.007976,0.0,0.0,0.0,0.0,0.0,libquadmath.so.0,flt128_printf_fp,[Unknown],0x25080
func@0x4032b0,0.007961,0.007961,0.0,0.007961,0.0,0.0,0.0,0.0,0.0,hw5,func@0x4032b0,[Unknown],0x4032b0
func@0x23b70,0.007950,0.007950,0.0,0.007950,0.0,0.0,0.0,0.0,0.0,libc.so.6,func@0x23b70,[Unknown],0x23b70
